,gene1,gene2,result
227,G:HGNC:1455,G:HGNC:13886,"Meta path:GTG, rank is 656 and total rank is 766"
228,G:HGNC:15139,G:HGNC:17660,no meta path
229,G:HGNC:23485,G:HGNC:7146,"Meta path:GMG, rank is 282 and total rank is 538"
230,G:HGNC:23596,G:HGNC:29027,no meta path
231,G:HGNC:31498,G:HGNC:4565,no meta path
232,G:HGNC:25492,G:HGNC:29167,"Meta path:GTG, rank is 16 and total rank is 290"
233,G:HGNC:9329,G:HGNC:11004,"Meta path:GTG, rank is 76 and total rank is 328"
234,G:HGNC:8738,G:HGNC:24963,no meta path
235,G:HGNC:20867,G:HGNC:13154,no meta path
236,G:HGNC:25364,G:HGNC:4568,"Meta path:GTG, rank is 319 and total rank is 458"
237,G:HGNC:707,G:HGNC:26098,"Meta path:GTG, rank is 126 and total rank is 390"
238,G:HGNC:10108,G:HGNC:14153,no meta path
239,G:HGNC:18349,G:HGNC:34448,no meta path
240,G:HGNC:30136,G:HGNC:8487,"Meta path:GTG, rank is 256 and total rank is 478"
241,G:HGNC:3960,G:HGNC:5836,no meta path
242,G:HGNC:32896,G:HGNC:26929,no meta path
243,G:HGNC:21336,G:HGNC:19024,"Meta path:GTG, rank is 212 and total rank is 441"
244,G:HGNC:25615,G:HGNC:27334,no meta path
245,G:HGNC:25162,G:HGNC:9841,no meta path
246,G:HGNC:9109,G:HGNC:14702,"Meta path:GTG, rank is 90 and total rank is 289"
247,G:HGNC:25206,G:HGNC:32609,no meta path
248,G:HGNC:23745,G:HGNC:16783,no meta path
249,G:HGNC:29304,G:HGNC:18745,"Meta path:GTG, rank is 301 and total rank is 470"
250,G:HGNC:32107,G:HGNC:27887,no meta path
251,G:HGNC:21147,G:HGNC:20982,"Meta path:GTG, rank is 102 and total rank is 471"
252,G:HGNC:32872,G:HGNC:33042,no meta path
253,G:HGNC:29672,G:HGNC:20528,"Meta path:GTG, rank is 79 and total rank is 369"
254,G:HGNC:6783,G:HGNC:25208,no meta path
255,G:HGNC:5009,G:HGNC:35126,"Meta path:GTG, rank is 325 and total rank is 780"
256,G:HGNC:23298,G:HGNC:21224,"Meta path:GTG, rank is 138 and total rank is 359"
257,G:HGNC:32757,G:HGNC:24779,no meta path
258,G:HGNC:32783,G:HGNC:8528,no meta path
259,G:HGNC:20852,G:HGNC:31706,no meta path
260,G:HGNC:30581,G:HGNC:21176,"Meta path:GMDMG, rank is 2031 and total rank is 3379"
261,G:HGNC:26845,G:HGNC:5467,no meta path
262,G:HGNC:6253,G:HGNC:18469,"Meta path:GTG, rank is 65 and total rank is 313"
263,G:HGNC:16497,G:HGNC:7714,"Meta path:GTG, rank is 133 and total rank is 332"
264,G:HGNC:6692,G:HGNC:31862,"Meta path:GTG, rank is 279 and total rank is 659"
265,G:HGNC:20267,G:HGNC:8968,"Meta path:GMDMG, rank is 1593 and total rank is 3449"
266,G:HGNC:19179,G:HGNC:18303,no meta path
267,G:HGNC:23370,G:HGNC:18863,no meta path
268,G:HGNC:6914,G:HGNC:29121,"Meta path:GTG, rank is 268 and total rank is 435"
269,G:HGNC:21339,G:HGNC:17367,no meta path
270,G:HGNC:19599,G:HGNC:12997,no meta path
271,G:HGNC:13851,G:HGNC:24903,no meta path
272,G:HGNC:18463,G:HGNC:8009,no meta path
273,G:HGNC:30869,G:HGNC:29993,"Meta path:GTG, rank is 175 and total rank is 389"
274,G:HGNC:10640,G:HGNC:10498,"Meta path:GTG, rank is 376 and total rank is 577"
275,G:HGNC:18458,G:HGNC:11064,"Meta path:GTG, rank is 186 and total rank is 406"
276,G:HGNC:5418,G:HGNC:16844,no meta path
277,G:HGNC:24084,G:HGNC:26744,"Meta path:GMDMG, rank is 47 and total rank is 1856"
278,G:HGNC:33178,G:HGNC:26863,no meta path
279,G:HGNC:26006,G:HGNC:2210,"Meta path:GMDpDMG, rank is 199 and total rank is 3477"
