,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank
140,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GPdPG', 'GTG', 'GMDpDMG']",13.0,0.188,16.0
141,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GPdPG', 'GMDMG', 'GMDpDMG']",19.0,0.24,25.0
142,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GTG', 'GMDMG', 'GMDpDMG']",1485.0,0.196,1847.0
143,G:HGNC:19316,G:HGNC:19317,"['GPdPG', 'GTG', 'GMDMG', 'GMDpDMG']",18.0,0.581,43.0
144,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GPdPG', 'GTG', 'GMDMG', 'GMDpDMG']",12.0,0.25,16.0
145,G:HGNC:6863,G:HGNC:11399,['GPdPG'],1.0,0.963,27.0
146,G:HGNC:6863,G:HGNC:11399,['GTG'],37.0,0.926,497.0
147,G:HGNC:6863,G:HGNC:11399,"['GPdPG', 'GTG']",32.0,0.887,282.0
148,G:HGNC:4131,G:HGNC:23233,['GTG'],8.0,0.961,205.0
149,G:HGNC:5194,G:HGNC:5195,['GTG'],4.0,0.974,151.0
150,G:HGNC:5194,G:HGNC:5195,['GMDMG'],3646.0,0.155,4317.0
151,G:HGNC:5194,G:HGNC:5195,"['GTG', 'GMDMG']",177.0,0.684,560.0
152,G:HGNC:9381,G:HGNC:9403,['GTG'],65.0,0.891,594.0
153,G:HGNC:9381,G:HGNC:9403,['GMDMG'],2831.0,0.258,3813.0
154,G:HGNC:9381,G:HGNC:9403,"['GTG', 'GMDMG']",3052.0,0.345,4663.0
155,G:HGNC:22140,G:HGNC:9416,['GTG'],159.0,0.619,417.0
156,G:HGNC:22140,G:HGNC:9416,['GMDMG'],2903.0,0.127,3324.0
157,G:HGNC:22140,G:HGNC:9416,['GMDpDMG'],2911.0,0.364,4579.0
158,G:HGNC:22140,G:HGNC:9416,"['GTG', 'GMDMG']",2700.0,0.153,3189.0
159,G:HGNC:22140,G:HGNC:9416,"['GTG', 'GMDpDMG']",3219.0,0.27,4407.0
