,gene1,gene2,result
109,G:HGNC:22140,G:HGNC:9407,"Meta path:['GDpDpDG', 'GTG'], rank is 98 and total rank is 5023"
110,G:HGNC:9081,G:HGNC:9082,"Meta path:['GTG'], rank is 1 and total rank is 274"
111,G:HGNC:1133,G:HGNC:3955,"Meta path:['GPdPG'], rank is 6 and total rank is 47"
112,G:HGNC:391,G:HGNC:9441,"Meta path:['GTG'], rank is 418 and total rank is 1033"
113,G:HGNC:9416,G:HGNC:1985,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
114,G:HGNC:9278,G:HGNC:9304,"Meta path:['GTG'], rank is 55 and total rank is 433"
115,G:HGNC:2595,G:HGNC:2596,"Meta path:['GTG'], rank is 6 and total rank is 475"
116,G:HGNC:30488,G:HGNC:4126,"Meta path:['GTG', 'GMDMG'], rank is 10 and total rank is 5058"
117,G:HGNC:9278,G:HGNC:28110,"Meta path:['GTG'], rank is 13 and total rank is 409"
118,G:HGNC:2269,G:HGNC:2267,"Meta path:['GPdPG'], rank is 1 and total rank is 11"
119,G:HGNC:362,G:HGNC:26526,"Meta path:['GPdPG'], rank is 2 and total rank is 8"
120,G:HGNC:16381,G:HGNC:9300,"Meta path:['GTG'], rank is 59 and total rank is 372"
121,G:HGNC:16381,G:HGNC:9288,"Meta path:['GMDpDMG'], rank is 2416 and total rank is 6124"
122,G:HGNC:9278,G:HGNC:9275,"Meta path:['GTG'], rank is 15 and total rank is 505"
123,G:HGNC:7455,G:HGNC:7458,"Meta path:['GDpDpDG', 'GTG'], rank is 5 and total rank is 4735"
124,G:HGNC:29569,G:HGNC:37216,"Meta path:['GTG'], rank is 1 and total rank is 159"
125,G:HGNC:817,G:HGNC:814,"Meta path:['GTG', 'GMDMG'], rank is 1 and total rank is 14710"
126,G:HGNC:6190,G:HGNC:3387,"Meta path:['GPdPG'], rank is 8 and total rank is 41"
127,G:HGNC:12585,G:HGNC:12586,"Meta path:['GPdPG'], rank is 2 and total rank is 14"
128,G:HGNC:4635,G:HGNC:7064,"Meta path:['GPdPG'], rank is 1 and total rank is 12"
129,G:HGNC:9157,G:HGNC:18590,"Meta path:['GTG'], rank is 154 and total rank is 304"
