,gene1,gene2,result
166,G:HGNC:389,G:HGNC:8142,"Meta path:GMDpDMG, rank is 249 and total rank is 7052"
167,G:HGNC:9299,G:HGNC:17521,"Meta path:GTG, rank is 480 and total rank is 549"
168,G:HGNC:689,G:HGNC:4856,"Meta path:GMDMG, rank is 62 and total rank is 6616"
169,G:HGNC:934,G:HGNC:17012,"Meta path:GMG, rank is 939 and total rank is 1711"
170,G:HGNC:26813,G:HGNC:17860,"Meta path:GMG, rank is 1050 and total rank is 1402"
171,G:HGNC:13244,G:HGNC:6769,"Meta path:GTG, rank is 806 and total rank is 933"
172,G:HGNC:6192,G:HGNC:9944,"Meta path:GMG, rank is 600 and total rank is 791"
173,G:HGNC:14251,G:HGNC:20898,"Meta path:GMDMG, rank is 13 and total rank is 6816"
174,G:HGNC:9212,G:HGNC:10897,"Meta path:GTG, rank is 130 and total rank is 539"
175,G:HGNC:1318,G:HGNC:6773,"Meta path:GTG, rank is 528 and total rank is 717"
176,G:HGNC:3023,G:HGNC:9376,"Meta path:GTG, rank is 625 and total rank is 928"
177,G:HGNC:2897,G:HGNC:16245,"Meta path:GTG, rank is 195 and total rank is 505"
178,G:HGNC:2345,G:HGNC:11439,"Meta path:GMG, rank is 232 and total rank is 1743"
179,G:HGNC:940,G:HGNC:3373,"Meta path:GMDMG, rank is 447 and total rank is 5611"
180,G:HGNC:25152,G:HGNC:16735,"Meta path:GTG, rank is 30 and total rank is 229"
181,G:HGNC:7132,G:HGNC:11364,"Meta path:GDpDG, rank is 223 and total rank is 479"
182,G:HGNC:19768,G:HGNC:7230,"Meta path:GTG, rank is 390 and total rank is 605"
183,G:HGNC:166,G:HGNC:13717,"Meta path:GMDpDMG, rank is 27 and total rank is 7772"
184,G:HGNC:17302,G:HGNC:10896,"Meta path:GTG, rank is 518 and total rank is 607"
185,G:HGNC:962,G:HGNC:17175,"Meta path:GTG, rank is 119 and total rank is 429"
186,G:HGNC:7107,G:HGNC:12783,"Meta path:GMG, rank is 1031 and total rank is 1107"
187,G:HGNC:7670,G:HGNC:12998,"Meta path:GTG, rank is 249 and total rank is 605"
188,G:HGNC:3017,G:HGNC:24566,"Meta path:GTG, rank is 298 and total rank is 479"
189,G:HGNC:3537,G:HGNC:8050,"Meta path:GMG, rank is 736 and total rank is 1734"
190,G:HGNC:28680,G:HGNC:2553,"Meta path:GMDMG, rank is 79 and total rank is 4429"
191,G:HGNC:5961,G:HGNC:9887,"Meta path:GTG, rank is 378 and total rank is 687"
192,G:HGNC:3023,G:HGNC:23576,"Meta path:GTG, rank is 618 and total rank is 755"
193,G:HGNC:2082,G:HGNC:11111,"Meta path:GTG, rank is 323 and total rank is 711"
194,G:HGNC:21529,G:HGNC:25950,"Meta path:GMG, rank is 219 and total rank is 1554"
195,G:HGNC:8620,G:HGNC:12856,"Meta path:GTG, rank is 243 and total rank is 945"
196,G:HGNC:711,G:HGNC:20742,"Meta path:GMG, rank is 767 and total rank is 1341"
197,G:HGNC:16298,G:HGNC:6401,"Meta path:GTG, rank is 61 and total rank is 424"
198,G:HGNC:28593,G:HGNC:18154,"Meta path:GTG, rank is 98 and total rank is 394"
199,G:HGNC:19741,G:HGNC:12851,"Meta path:GMG, rank is 261 and total rank is 1627"
200,G:HGNC:11110,G:HGNC:6347,"Meta path:GTG, rank is 78 and total rank is 589"
201,G:HGNC:28593,G:HGNC:20809,"Meta path:GMG, rank is 574 and total rank is 1690"
202,G:HGNC:689,G:HGNC:8620,"Meta path:GTG, rank is 521 and total rank is 848"
203,G:HGNC:26169,G:HGNC:21157,"Meta path:GTG, rank is 221 and total rank is 389"
204,G:HGNC:6871,G:HGNC:6771,"Meta path:GTG, rank is 364 and total rank is 1000"
205,G:HGNC:19331,G:HGNC:20155,"Meta path:GTG, rank is 117 and total rank is 341"
206,G:HGNC:7719,G:HGNC:19221,"Meta path:GMDpDMG, rank is 26 and total rank is 6999"
207,G:HGNC:24011,G:HGNC:777,"Meta path:GTG, rank is 337 and total rank is 626"
208,G:HGNC:1722,G:HGNC:6619,"Meta path:GMDMG, rank is 3653 and total rank is 4810"
209,G:HGNC:24578,G:HGNC:24637,"Meta path:GMDMG, rank is 154 and total rank is 7944"
210,G:HGNC:18717,G:HGNC:29005,"Meta path:GMG, rank is 1352 and total rank is 1712"
211,G:HGNC:17097,G:HGNC:10978,"Meta path:GMG, rank is 133 and total rank is 1854"
212,G:HGNC:18717,G:HGNC:12412,"Meta path:GMDMG, rank is 82 and total rank is 7763"
213,G:HGNC:16934,G:HGNC:9237,"Meta path:GMDMG, rank is 4261 and total rank is 5251"
214,G:HGNC:9784,G:HGNC:12494,"Meta path:GMDpDMG, rank is 327 and total rank is 6596"
215,G:HGNC:5961,G:HGNC:25950,"Meta path:GTG, rank is 439 and total rank is 659"
216,G:HGNC:17152,G:HGNC:24594,"Meta path:GMG, rank is 366 and total rank is 2227"
217,G:HGNC:1100,G:HGNC:17755,"Meta path:GMDpDMG, rank is 662 and total rank is 6795"
218,G:HGNC:23480,G:HGNC:9623,"Meta path:GTG, rank is 165 and total rank is 533"
219,G:HGNC:795,G:HGNC:3711,"Meta path:GMDMG, rank is 100 and total rank is 7879"
220,G:HGNC:24682,G:HGNC:6914,"Meta path:GTG, rank is 304 and total rank is 446"
221,G:HGNC:6968,G:HGNC:4047,"Meta path:GTG, rank is 165 and total rank is 481"
222,G:HGNC:3800,G:HGNC:17278,"Meta path:GTG, rank is 542 and total rank is 751"
223,G:HGNC:14005,G:HGNC:9854,"Meta path:GTG, rank is 95 and total rank is 493"
224,G:HGNC:1743,G:HGNC:10378,"Meta path:GTG, rank is 307 and total rank is 559"
225,G:HGNC:5465,G:HGNC:15454,"Meta path:GMDMG, rank is 185 and total rank is 8852"
226,G:HGNC:11969,G:HGNC:12856,"Meta path:GTG, rank is 338 and total rank is 696"
227,G:HGNC:6547,G:HGNC:19221,"Meta path:GTG, rank is 504 and total rank is 594"
228,G:HGNC:8800,G:HGNC:11850,"Meta path:GTG, rank is 449 and total rank is 847"
229,G:HGNC:1490,G:HGNC:16051,"Meta path:GMG, rank is 224 and total rank is 1846"
230,G:HGNC:11743,G:HGNC:12787,"Meta path:GMG, rank is 679 and total rank is 1192"
231,G:HGNC:29923,G:HGNC:17845,"Meta path:GMG, rank is 857 and total rank is 1360"
232,G:HGNC:26971,G:HGNC:7881,"Meta path:GMDpDMG, rank is 359 and total rank is 7153"
233,G:HGNC:5010,G:HGNC:14951,"Meta path:GTG, rank is 487 and total rank is 590"
234,G:HGNC:1386,G:HGNC:5464,"Meta path:GTG, rank is 433 and total rank is 612"
235,G:HGNC:667,G:HGNC:11723,"Meta path:GTG, rank is 612 and total rank is 880"
236,G:HGNC:4983,G:HGNC:27265,"Meta path:GMDpDMG, rank is 428 and total rank is 7557"
237,G:HGNC:6304,G:HGNC:14335,"Meta path:GMDMG, rank is 150 and total rank is 7049"
238,G:HGNC:14258,G:HGNC:7132,"Meta path:GMDMG, rank is 178 and total rank is 7193"
239,G:HGNC:11743,G:HGNC:26253,"Meta path:GTG, rank is 366 and total rank is 758"
240,G:HGNC:169,G:HGNC:11491,"Meta path:GTG, rank is 437 and total rank is 793"
241,G:HGNC:21157,G:HGNC:29259,"Meta path:GTG, rank is 512 and total rank is 607"
242,G:HGNC:9701,G:HGNC:29005,"Meta path:GTG, rank is 321 and total rank is 475"
243,G:HGNC:7666,G:HGNC:14581,"Meta path:GTG, rank is 674 and total rank is 811"
244,G:HGNC:29644,G:HGNC:33920,"Meta path:GTG, rank is 41 and total rank is 221"
245,G:HGNC:9784,G:HGNC:25919,"Meta path:GMG, rank is 1223 and total rank is 1775"
246,G:HGNC:25248,G:HGNC:11804,"Meta path:GMDMG, rank is 62 and total rank is 5253"
247,G:HGNC:924,G:HGNC:16002,"Meta path:GTG, rank is 399 and total rank is 523"
248,G:HGNC:2205,G:HGNC:1239,"Meta path:GTG, rank is 351 and total rank is 460"
249,G:HGNC:659,G:HGNC:21100,"Meta path:GTG, rank is 416 and total rank is 609"
250,G:HGNC:18421,G:HGNC:18782,"Meta path:GTG, rank is 207 and total rank is 480"
251,G:HGNC:1599,G:HGNC:1774,"Meta path:GTG, rank is 463 and total rank is 987"
252,G:HGNC:2745,G:HGNC:3826,"Meta path:GTG, rank is 500 and total rank is 719"
253,G:HGNC:7107,G:HGNC:15989,"Meta path:GMG, rank is 1415 and total rank is 1555"
254,G:HGNC:17088,G:HGNC:8004,"Meta path:GMG, rank is 475 and total rank is 666"
255,G:HGNC:26971,G:HGNC:9583,"Meta path:GTG, rank is 181 and total rank is 385"
256,G:HGNC:24170,G:HGNC:6679,"Meta path:GTG, rank is 46 and total rank is 383"
257,G:HGNC:2082,G:HGNC:16262,"Meta path:GTG, rank is 330 and total rank is 788"
258,G:HGNC:11892,G:HGNC:592,"Meta path:GTG, rank is 911 and total rank is 1014"
259,G:HGNC:6156,G:HGNC:7670,"Meta path:GTG, rank is 585 and total rank is 791"
260,G:HGNC:10548,G:HGNC:6192,"Meta path:GTG, rank is 363 and total rank is 949"
261,G:HGNC:4341,G:HGNC:6153,"Meta path:GTG, rank is 468 and total rank is 819"
262,G:HGNC:6769,G:HGNC:11773,"Meta path:GDpDpDG, rank is 13 and total rank is 5714"
263,G:HGNC:37231,G:HGNC:13503,"Meta path:GMG, rank is 179 and total rank is 1343"
264,G:HGNC:25239,G:HGNC:11729,"Meta path:GMG, rank is 695 and total rank is 1726"
265,G:HGNC:19009,G:HGNC:28866,"Meta path:GMDMG, rank is 156 and total rank is 4416"
266,G:HGNC:29533,G:HGNC:26886,"Meta path:GTG, rank is 100 and total rank is 444"
267,G:HGNC:4765,G:HGNC:6769,"Meta path:GTG, rank is 736 and total rank is 976"
268,G:HGNC:4913,G:HGNC:29041,"Meta path:GTG, rank is 454 and total rank is 549"
269,G:HGNC:4323,G:HGNC:28365,"Meta path:GTG, rank is 157 and total rank is 407"
270,G:HGNC:6395,G:HGNC:10833,"Meta path:GTG, rank is 149 and total rank is 475"
271,G:HGNC:4566,G:HGNC:6285,"Meta path:GTG, rank is 459 and total rank is 622"
272,G:HGNC:689,G:HGNC:16735,"Meta path:GMG, rank is 82 and total rank is 1675"
273,G:HGNC:18646,G:HGNC:12476,"Meta path:GTG, rank is 395 and total rank is 524"
274,G:HGNC:533,G:HGNC:21370,"Meta path:GMDpDMG, rank is 1313 and total rank is 5358"
275,G:HGNC:17208,G:HGNC:13503,"Meta path:GTG, rank is 339 and total rank is 475"
276,G:HGNC:8127,G:HGNC:20816,"Meta path:GTG, rank is 248 and total rank is 565"
277,G:HGNC:22965,G:HGNC:11785,"Meta path:GTG, rank is 635 and total rank is 705"
278,G:HGNC:812,G:HGNC:23247,"Meta path:GTG, rank is 367 and total rank is 472"
279,G:HGNC:4986,G:HGNC:16447,"Meta path:GTG, rank is 100 and total rank is 363"
280,G:HGNC:5194,G:HGNC:9772,"Meta path:GMDMG, rank is 983 and total rank is 5160"
281,G:HGNC:5039,G:HGNC:7785,"Meta path:GMDMG, rank is 309 and total rank is 5235"
282,G:HGNC:644,G:HGNC:17300,"Meta path:GTG, rank is 513 and total rank is 836"
283,G:HGNC:23247,G:HGNC:29259,"Meta path:GTG, rank is 228 and total rank is 565"
284,G:HGNC:1504,G:HGNC:33521,"Meta path:GTG, rank is 477 and total rank is 558"
285,G:HGNC:3711,G:HGNC:9399,"Meta path:GMG, rank is 27 and total rank is 1093"
286,G:HGNC:20576,G:HGNC:12735,"Meta path:GMDMG, rank is 1144 and total rank is 7418"
287,G:HGNC:795,G:HGNC:14625,"Meta path:GTG, rank is 508 and total rank is 696"
288,G:HGNC:9449,G:HGNC:9702,"Meta path:GMG, rank is 1055 and total rank is 2132"
289,G:HGNC:172,G:HGNC:11059,"Meta path:GTG, rank is 284 and total rank is 532"
290,G:HGNC:17012,G:HGNC:9862,"Meta path:GTG, rank is 274 and total rank is 516"
