"","gene1","gene2","HGNCID1","HGNCID2","Lin_BP","Lin_CC","Lin_MF","Resnik_BP","Resnik_CC","Resnik_MF","Wang_BP","Wang_CC","Wang_MF","Label"
"108","NM_006781","NM_015260","HGNC:13922","HGNC:19354","0","1","0","0","0.12","0","0","1","0",0
"109","NM_000785","NM_007349","HGNC:2606","HGNC:8624","0.329","0.347","0","0.179","0.085","0","0.211","0.546","0.143",0
"110","NM_005252","NM_006280","HGNC:3796","HGNC:11326","0","0.304","0","0","0.13","0","0","0.338","0",0
"111","NM_004391","NR_103535","HGNC:2653","HGNC:31983","0","0","0","0","0","0","0","0","0",0
"112","NM_007074","NM_001025366","HGNC:2252","HGNC:12680","0.337","0.442","0.4","0.179","0.111","0.099","0.236","0.535","0.67",0
"113","NG_011315","NM_004858","HGNC:36654","HGNC:11034","0","0","0","0","0","0","0","0","0",0
"114","NM_004448","NM_201599","HGNC:3430","HGNC:13054","0.245","0.79","0.214","0.088","0.12","0.03","0.251","0.661","0.367",0
"115","NM_017680","NM_003333","HGNC:14872","HGNC:12458","0.249","0.758","0.146","0.126","0.226","0.03","0.177","0.162","0.355",0
"116","NM_014447","NM_024674","HGNC:21496","HGNC:15986","0.106","0.42","0.096","0.048","0.107","0.03","0.097","0.591","0.285",0
"117","NM_014415","NM_012300","HGNC:16740","HGNC:13607","0","0.79","0","0","0.12","0","0.323","0.661","0.373",0
"118","NM_016581","NM_144580","HGNC:29548","HGNC:29436","0.351","0.695","0.083","0.145","0.117","0.015","0.131","0.755","0.255",0
"119","NM_007353","NG_009678.1","HGNC:4380","HGNC:34036","0","0","0","0","0","0","0","0","0",0
"120","NM_021983","NR_029619","HGNC:4952","HGNC:31573","0.235","0","0","0.116","0","0","0.178","0.177","0",0
"121","NM_017592","NM_002994","HGNC:23074","HGNC:10642","0","0","0.416","0","0","0.067","0","0.118","0.815",0
"122","NM_006267","NM_032508","HGNC:9848","HGNC:17125","0","0.065","1","0","0.016","0.067","0","0.286","1",0
"123","NM_020421","NR_027422","HGNC:19038","HGNC:23667","0","0","0","0","0","0","0","0","0",0
"124","NM_001702","NM_005512","HGNC:943","HGNC:4161","0.221","0.29","0.4","0.101","0.08","0.044","0.226","0.426","0.567",0
"125","NM_030571","NM_005707","HGNC:17592","HGNC:8767","0.262","0.141","0","0.092","0.036","0","0.135","0.318","0",0
"126","NM_014938","NM_015716","HGNC:17055","HGNC:17565","0.263","0","0.165","0.103","0","0.045","0.133","0","0.163",0
"127","NM_198969","NM_198180","HGNC:307","HGNC:29982","0.233","0","0.124","0.092","0","0.051","0.258","0.218","0.462",0
"128","NM_002908","NM_016282","HGNC:9954","HGNC:17376","0.28","0.49","0.301","0.131","0.115","0.023","0.164","0.681","0.421",0
"129","NM_198273","NM_022754","HGNC:26969","HGNC:16085","0","0","0","0","0","0","0","0","0",0
"130","NM_020943","NM_182509","HGNC:29322","HGNC:23176","0","0","0","0","0","0","0","0","0",0
"131","NM_022473","NM_001005205","HGNC:12886","HGNC:14855","0","0","0","0","0","0","0","0","0",0
"132","NM_178569","NM_019105","HGNC:24226","HGNC:11976","0","0","0","0","0","0","0","0","0",0
"133","NM_003775","NM_004717","HGNC:3170","HGNC:2855","0.264","0.456","0.081","0.111","0.082","0.015","0.216","0.595","0.366",0
"134","NM_001004300","NR_030753","HGNC:26987","HGNC:32871","0","0","0","0","0","0","0","0","0",0
"135","NM_174896","NM_004859","HGNC:28344","HGNC:2092","0","0","0","0","0","0","0","0","0",0
"136","NM_138476","NM_153329","HGNC:28781","HGNC:28114","0","0","0","0","0","0","0","0","0",0
"137","NR_026557","NM_017422","HGNC:27001","HGNC:18180","0.347","0.279","0","0.107","0.079","0","0.255","0.406","0",0
"138","NM_030657","NM_001277083","HGNC:6610","HGNC:37094","0","0","0","0","0","0","0.108","0.305","0",0
"139","NR_029512","NM_003824","HGNC:31648","HGNC:3573","0.274","0","0.091","0.15","0","0.03","0.189","0","0.276",0
"140","NR_002958","NM_016195","HGNC:32607","HGNC:7212","0","0","0","0","0","0","0","0","0",0
"141","NM_052948","NM_207377","HGNC:23085","HGNC:33752","0","0","0","0","0","0","0","0","0",0
"142","NM_018930","NM_015458","HGNC:8681","HGNC:14596","0.049","0","0","0.021","0","0","0.112","0.255","0",0
"143","NM_002695","NM_152582","HGNC:9192","HGNC:28400","0","0","0","0","0","0","0","0","0",0
"144","NM_006700","NM_145008","HGNC:24808","HGNC:18328","0","0","0","0","0","0","0","0","0",0
"145","NM_174912","NM_015931","HGNC:26440","HGNC:24809","0","0.187","0","0","0.06","0","0.094","0.554","0",0
"146","NG_001332","NM_025265","HGNC:12148","HGNC:28422","0","0","0","0","0","0","0","0","0",0
"147","NM_198275","NR_000025","HGNC:27279","HGNC:16649","0","0","0","0","0","0","0","0","0",0
"148","NM_004343","NM_022436","HGNC:1455","HGNC:13886","0.288","0.245","0.365","0.153","0.085","0.079","0.225","0.307","0.512",0
"149","NM_207374","NM_014881","HGNC:15139","HGNC:17660","0","0.096","0","0","0.016","0","0","0.233","0",0
"150","NM_024657","NM_002420","HGNC:23485","HGNC:7146","0","0.096","0","0","0.016","0","0","0.233","0.074",0
"151","NM_001005922","NM_015113","HGNC:23596","HGNC:29027","0","0","0","0","0","0","0","0","0",0
"152","NR_029609","NM_004490","HGNC:31498","HGNC:4565","0.447","0","0.071","0.24","0","0.03","0.277","0.177","0.218",0
"153","NM_018028","NM_014925","HGNC:25492","HGNC:29167","0","0","1","0","0","0.242","0","0","1",0
"154","NM_005972","NM_001532","HGNC:9329","HGNC:11004","0.118","0.691","0","0.055","0.142","0","0.14","0.663","0",0
"155","NM_002593","NM_144616","HGNC:8738","HGNC:24963","0.317","0","0","0.111","0","0","0.358","0","0",0
"156","NM_032503","NM_021089","HGNC:20867","HGNC:13154","0","0","0","0","0","0","0","0","0",0
"157","NM_032124","NM_005312","HGNC:25364","HGNC:4568","0","0.576","0.81","0","0.186","0.159","0.167","0.193","0.652",0
"158","NM_001024959","NM_017967","HGNC:707","HGNC:26098","0","0","1","0","0","0.067","0","0","1",0
"159","NR_004407","NM_173476","HGNC:10108","HGNC:14153","0","0","0","0","0","0","0","0","0",0
"160","NM_182908","NM_001145010","HGNC:18349","HGNC:34448","0","0","0","0","0","0","0","0","0",0
"161","NM_020422","NM_004153","HGNC:30136","HGNC:8487","0","0","1","0","0","0.067","0","0","1",0
"162","NM_012418","NG_000834","HGNC:3960","HGNC:5836","0","0","0","0","0","0","0","0","0",0
"163","NR_030370","NM_032499","HGNC:32896","HGNC:26929","0","0","0","0","0","0","0","0","0",0
"164","NM_030963","NM_032765","HGNC:21336","HGNC:19024","0.298","0","0","0.133","0","0","0.137","0","0",0
"165","NM_018296","NM_182540","HGNC:25615","HGNC:27334","0","0","0","0","0","0","0","0","0",0
"166","NM_138397","NM_006788","HGNC:25162","HGNC:9841","0","0","0","0","0","0","0","0","0",0
"167","NM_002674","NG_002247","HGNC:9109","HGNC:14702","0","0","0","0","0","0","0","0","0",0
"168","NM_138802","NR_002917","HGNC:25206","HGNC:32609","0","0","0","0","0","0","0","0","0",0
"169","NM_001045476","NM_024529","HGNC:23745","HGNC:16783","0","0","0","0","0","0","0","0","0",0
"170","NM_020894","NM_016141","HGNC:29304","HGNC:18745","0.114","0.385","0.444","0.05","0.126","0.055","0.12","0.464","0.606",0
"171","NR_030197","NM_001037671","HGNC:32107","HGNC:27887","0","0","0","0","0","0","0","0","0",0
"172","NM_024787","NM_020197","HGNC:21147","HGNC:20982","0.254","1","0.52","0.12","0.079","0.131","0.303","1","0.512",0
"173","NR_030346","NR_003315.1","HGNC:32872","HGNC:33042","0","0","0","0","0","0","0","0","0",0
"174","NM_182924","NM_198692","HGNC:29672","HGNC:20528","0.476","0.297","1","0.189","0.091","0.067","0.519","0.541","1",0
"175","NM_080600","NM_145807","HGNC:6783","HGNC:25208","0.714","0","0","0.25","0","0","0.411","0","0",0
"176","NM_003483","NM_001164405","HGNC:5009","HGNC:35126","0","0.365","0.351","0","0.036","0.071","0","0.621","0.572",0
"177","NM_012339","NM_145062","HGNC:23298","HGNC:21224","0","0","1","0","0","0.067","0","0","1",0
"178","NR_002591","NM_198567","HGNC:32757","HGNC:24779","0","0","0","0","0","0","0","0","0",0
"179","NM_001023561","NM_000915","HGNC:32783","HGNC:8528","0","0","0","0","0","0","0","0","0",0
"180","NM_032259","NR_027291","HGNC:20852","HGNC:31706","0","0","0","0","0","0","0","0","0",0
"181","NM_018276","NM_017909","HGNC:30581","HGNC:21176","0","0","0","0","0","0","0","0","0",0
"182","NM_001080401","NM_000876","HGNC:26845","HGNC:5467","0","0","0","0","0","0","0","0","0",0
"183","NM_012285","NM_016353","HGNC:6253","HGNC:18469","0","0.529","0","0","0.1","0","0.05","0.581","0",0
"184","NM_020353","NM_024407","HGNC:16497","HGNC:7714","0.266","0.283","0.312","0.144","0.098","0.033","0.157","0.213","0.501",0
"185","NM_002332","NM_203458","HGNC:6692","HGNC:31862","0.185","0","0.238","0.101","0","0.056","0.216","0","0.483",0
"186","NM_015351","NM_002644","HGNC:20267","HGNC:8968","0","0","0","0","0","0","0","0","0",0
"187","NM_178868","NM_015941","HGNC:19179","HGNC:18303","0","0.341","0","0","0.097","0","0","0.4","0",0
"188","NM_080655","NM_033272","HGNC:23370","HGNC:18863","0","0","0","0","0","0","0","0","0",0
"189","NM_002383","NM_015210","HGNC:6914","HGNC:29121","0.224","0","0.51","0.102","0","0.122","0.196","0","0.596",0
