gene1,gene2
HGNC:1424,HGNC:3005
HGNC:4806,HGNC:8905
HGNC:417,HGNC:4706
HGNC:4795,HGNC:30605
HGNC:758,HGNC:468
HGNC:2260,HGNC:930
HGNC:4021,HGNC:15517
HGNC:10297,HGNC:4803
HGNC:6842,HGNC:5208
HGNC:3771,HGNC:7468
HGNC:4455,HGNC:799
HGNC:3434,HGNC:3706
HGNC:8021,HGNC:4706
HGNC:6512,HGNC:8957
HGNC:11257,HGNC:2859
HGNC:6617,HGNC:4817
HGNC:6840,HGNC:9891
HGNC:4177,HGNC:8592
HGNC:6524,HGNC:325
HGNC:30740,HGNC:90
HGNC:468,HGNC:11277
HGNC:18985,HGNC:9052
HGNC:8923,HGNC:11460
HGNC:12015,HGNC:6171
HGNC:2873,HGNC:6903
HGNC:4125,HGNC:11992
HGNC:16066,HGNC:854
HGNC:11503,HGNC:8547
HGNC:19331,HGNC:8940
HGNC:21042,HGNC:25481
HGNC:8653,HGNC:29685
HGNC:15505,HGNC:8794
HGNC:4422,HGNC:9255
HGNC:5391,HGNC:9453
HGNC:6080,HGNC:16066
HGNC:8786,HGNC:19358
HGNC:18518,HGNC:886
HGNC:17759,HGNC:11460
HGNC:9155,HGNC:10294
HGNC:3151,HGNC:812
HGNC:3771,HGNC:8957
HGNC:17175,HGNC:735
HGNC:9453,HGNC:23
HGNC:18294,HGNC:6937
HGNC:361,HGNC:9726
HGNC:9402,HGNC:17095
HGNC:9958,HGNC:409
HGNC:8964,HGNC:9280
HGNC:17341,HGNC:7892
HGNC:19691,HGNC:13345
HGNC:10537,HGNC:9726
HGNC:2933,HGNC:3579
HGNC:1500,HGNC:8940
HGNC:388,HGNC:7713
HGNC:8975,HGNC:175
HGNC:15993,HGNC:12009
HGNC:4021,HGNC:6840
HGNC:7468,HGNC:9052
HGNC:8790,HGNC:7715
HGNC:7716,HGNC:6903
HGNC:24592,HGNC:5154
HGNC:14198,HGNC:395
HGNC:8773,HGNC:23141
HGNC:11559,HGNC:8786
HGNC:2342,HGNC:9052
HGNC:2294,HGNC:19139
HGNC:91,HGNC:4175
HGNC:2859,HGNC:1442
HGNC:225,HGNC:7715
HGNC:25223,HGNC:3133
HGNC:25223,HGNC:15925
HGNC:409,HGNC:6315
HGNC:4138,HGNC:29594
HGNC:2995,HGNC:23159
HGNC:3642,HGNC:6512
HGNC:404,HGNC:395
HGNC:5218,HGNC:7045
HGNC:20093,HGNC:321
HGNC:19139,HGNC:9115
HGNC:4204,HGNC:15517
HGNC:10872,HGNC:8907
HGNC:21022,HGNC:6315
HGNC:2933,HGNC:851
HGNC:1377,HGNC:8940
HGNC:8028,HGNC:2976
HGNC:9413,HGNC:7716
HGNC:1461,HGNC:20093
HGNC:6172,HGNC:5005
HGNC:12015,HGNC:794
HGNC:6192,HGNC:25538
HGNC:18453,HGNC:6469
HGNC:4193,HGNC:19316
HGNC:327,HGNC:20093
HGNC:8940,HGNC:3518
HGNC:13211,HGNC:1318
HGNC:12496,HGNC:9350
HGNC:9305,HGNC:291
HGNC:5157,HGNC:7758
HGNC:4837,HGNC:5208
HGNC:9302,HGNC:11277
HGNC:13398,HGNC:28526
HGNC:12586,HGNC:6685
HGNC:9173,HGNC:470
HGNC:7179,HGNC:11782
HGNC:21406,HGNC:251
HGNC:2294,HGNC:4801
HGNC:8022,HGNC:735
HGNC:7473,HGNC:2328
HGNC:11425,HGNC:91
HGNC:7468,HGNC:7715
HGNC:3438,HGNC:11782
HGNC:7716,HGNC:395
HGNC:2294,HGNC:4189
HGNC:33882,HGNC:4799
HGNC:1377,HGNC:15517
HGNC:9280,HGNC:8927
HGNC:890,HGNC:11782
HGNC:10545,HGNC:7715
HGNC:6535,HGNC:177
HGNC:8022,HGNC:6176
HGNC:4189,HGNC:17964
HGNC:2898,HGNC:4177
HGNC:15868,HGNC:6971
HGNC:327,HGNC:4189
HGNC:25133,HGNC:10872
HGNC:7529,HGNC:1985
HGNC:6619,HGNC:6842
HGNC:2898,HGNC:4162
HGNC:4289,HGNC:2678
HGNC:11425,HGNC:414
HGNC:257,HGNC:9279
HGNC:6685,HGNC:18337
HGNC:801,HGNC:2592
HGNC:1509,HGNC:10297
HGNC:2843,HGNC:5208
HGNC:24464,HGNC:8768
HGNC:20093,HGNC:4175
HGNC:1502,HGNC:4298
HGNC:9083,HGNC:15925
HGNC:11278,HGNC:18453
HGNC:7530,HGNC:16001
HGNC:6535,HGNC:2330
HGNC:4115,HGNC:890
HGNC:9314,HGNC:26019
HGNC:9940,HGNC:24650
HGNC:26444,HGNC:2972
HGNC:9411,HGNC:11831
HGNC:4455,HGNC:7590
HGNC:30802,HGNC:1460
HGNC:321,HGNC:6171
HGNC:8127,HGNC:19358
HGNC:5391,HGNC:23056
HGNC:3767,HGNC:877
HGNC:12586,HGNC:409
HGNC:8786,HGNC:2519
HGNC:24592,HGNC:713
HGNC:361,HGNC:6840
HGNC:7863,HGNC:177
HGNC:19743,HGNC:3423
HGNC:1500,HGNC:8786
HGNC:9588,HGNC:15517
HGNC:2321,HGNC:1912
HGNC:12592,HGNC:2896
HGNC:9067,HGNC:9726
HGNC:1424,HGNC:21474
HGNC:753,HGNC:2260
HGNC:438,HGNC:11278
HGNC:257,HGNC:470
HGNC:812,HGNC:6708
HGNC:3247,HGNC:21042
HGNC:6617,HGNC:4125
HGNC:362,HGNC:8877
HGNC:19317,HGNC:8960
HGNC:4699,HGNC:2976
HGNC:9040,HGNC:4706
HGNC:17646,HGNC:9411
HGNC:4570,HGNC:5005
HGNC:758,HGNC:9689
HGNC:8654,HGNC:4706
HGNC:17964,HGNC:20233
HGNC:4816,HGNC:9414
HGNC:8960,HGNC:9067
HGNC:469,HGNC:9066
HGNC:4118,HGNC:9155
HGNC:10872,HGNC:8960
HGNC:4796,HGNC:9726
HGNC:24475,HGNC:9302
HGNC:19743,HGNC:4696
HGNC:9940,HGNC:8653
HGNC:9305,HGNC:6524
HGNC:8925,HGNC:8646
HGNC:12513,HGNC:930
HGNC:9399,HGNC:15516
HGNC:3631,HGNC:11120
HGNC:9279,HGNC:438
HGNC:24678,HGNC:7413
HGNC:12840,HGNC:4341
HGNC:11559,HGNC:6903
HGNC:20093,HGNC:3518
HGNC:9407,HGNC:1247
HGNC:11449,HGNC:5208
HGNC:8931,HGNC:930
HGNC:29932,HGNC:15516
HGNC:4021,HGNC:2898
HGNC:11448,HGNC:857
HGNC:409,HGNC:17877
HGNC:9462,HGNC:232
HGNC:15505,HGNC:735
HGNC:6619,HGNC:7104
HGNC:7193,HGNC:4817
HGNC:8609,HGNC:8877
HGNC:869,HGNC:30260
HGNC:1062,HGNC:23
HGNC:28883,HGNC:20233
HGNC:869,HGNC:16999
HGNC:1500,HGNC:7468
HGNC:9388,HGNC:10547
HGNC:3535,HGNC:12469
HGNC:6903,HGNC:11609
HGNC:469,HGNC:4699
HGNC:10545,HGNC:26222
HGNC:9314,HGNC:6617
HGNC:19139,HGNC:7892
HGNC:18294,HGNC:9414
HGNC:24464,HGNC:26274
HGNC:2689,HGNC:4204
HGNC:1067,HGNC:29594
HGNC:4138,HGNC:2501
HGNC:25133,HGNC:8028
HGNC:10294,HGNC:800
HGNC:17646,HGNC:2592
HGNC:9155,HGNC:3092
HGNC:22932,HGNC:9402
HGNC:1442,HGNC:930
HGNC:1550,HGNC:385
HGNC:89,HGNC:9725
HGNC:2867,HGNC:9870
HGNC:9414,HGNC:23
HGNC:24650,HGNC:8794
HGNC:9462,HGNC:9052
HGNC:1037,HGNC:11992
HGNC:257,HGNC:1476
HGNC:8636,HGNC:6469
HGNC:395,HGNC:12840
HGNC:3642,HGNC:5005
HGNC:753,HGNC:924
HGNC:8028,HGNC:812
HGNC:8768,HGNC:24592
HGNC:19743,HGNC:28526
HGNC:4298,HGNC:17095
HGNC:19743,HGNC:930
HGNC:19317,HGNC:7218
HGNC:8783,HGNC:11278
HGNC:7758,HGNC:7715
