,gene1,gene2,ins,mPath,score
30,G:HGNC:6932,G:HGNC:12796,71,GDMDMDG,0.351485149
30,G:HGNC:6932,G:HGNC:417,5,GDpDpDG,0.003193868
8,G:HGNC:6932,G:HGNC:6933,5,GTG,0.344827586
10,G:HGNC:6932,G:HGNC:16361,17,GDpDpDG,0.343434343
6,G:HGNC:6932,G:HGNC:4522,6,GTG,0.342857143
2,G:HGNC:6932,G:HGNC:118,31,GDpDpDG,0.008264463
8,G:HGNC:6932,G:HGNC:7216,1,GMG,0.333333333
12,G:HGNC:6932,G:HGNC:17158,1,GMG,0.333333333
5,G:HGNC:6932,G:HGNC:15919,8,GDpDpDG,0.054982818
19,G:HGNC:6932,G:HGNC:30376,1,GMG,0.333333333
7,G:HGNC:6932,G:HGNC:17772,1,GMG,0.333333333
8,G:HGNC:6932,G:HGNC:119,38,GDpDpDG,0.010798522
28,G:HGNC:6932,G:HGNC:12513,1,GMG,0.333333333
10,G:HGNC:6932,G:HGNC:120,4,GDpDpDG,0.025723473
26,G:HGNC:6932,G:HGNC:4851,66,GDMDMDG,0.329177057
4,G:HGNC:6932,G:HGNC:6929,7,GTG,0.325581395
5,G:HGNC:6932,G:HGNC:16356,17,GDpDpDG,0.323809524
14,G:HGNC:6932,G:HGNC:124,15,GDpDpDG,0.017045455
15,G:HGNC:6932,G:HGNC:8786,17,GDpDpDG,0.314814815
25,G:HGNC:6932,G:HGNC:4325,5,GTG,0.3125
6,G:HGNC:6932,G:HGNC:6930,5,GTG,0.3125
1,G:HGNC:6932,G:HGNC:9201,5,GDpDG,0.3125
29,G:HGNC:6932,G:HGNC:19718,5,GTG,0.3125
22,G:HGNC:6932,G:HGNC:4528,4,GTG,0.307692308
13,G:HGNC:6932,G:HGNC:29083,4,GTG,0.307692308
6,G:HGNC:6932,G:HGNC:18626,109,GDpDpDG,0.304895105
23,G:HGNC:6932,G:HGNC:3571,3,GDpDpDG,0.020689655
7,G:HGNC:6932,G:HGNC:4530,5,GTG,0.303030303
31,G:HGNC:6932,G:HGNC:13764,4,GTG,0.296296296
26,G:HGNC:6932,G:HGNC:944,5,GTG,0.294117647
9,G:HGNC:6932,G:HGNC:9591,5,GTG,0.294117647
28,G:HGNC:6932,G:HGNC:19893,4,GTG,0.285714286
8,G:HGNC:6932,G:HGNC:19241,4,GTG,0.285714286
22,G:HGNC:6932,G:HGNC:4192,6,GTG,0.285714286
